id_opera;titolo_opera;source_file;fonte;data_creazione
1;;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/immagini/fonte 1/processed/1.jpeg;fonte 1;2022-09-13T15:55:26.000+02:00
2;;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/immagini/fonte 1/processed/2.jpeg;fonte 1;2022-09-23T11:14:19.000+02:00
3;;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/immagini/fonte 1/processed/3.jpeg;fonte 1;2022-09-23T11:14:20.000+02:00
4;;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/immagini/fonte 1/processed/4.jpeg;fonte 1;2022-09-23T11:14:20.000+02:00
5;;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/immagini/fonte 1/processed/5.jpeg;fonte 1;2022-09-23T11:14:18.000+02:00
